State,"Effective Date","Valid Through Date",Bans_Prohibit,Limited_Law,Limited_Court,Limited_AG,Prohibit_Req,"Bans_gest_Any point in pregnancy","Bans_gest_Fetal heartbeat detected","Bans_gest_4 weeks postfertilization (6 weeks LMP) ","Bans_gest_6 weeks postfertilization (8 weeks LMP) ","Bans_gest_8 weeks postfertilization (10 weeks LMP)","Bans_gest_10 weeks postfertilization (12 weeks LMP) ","Bans_gest_12 weeks postfertilization (14 weeks LMP)","Bans_gest_13 weeks postfertilization (15 weeks LMP)","Bans_gest_16 weeks postfertilization (18 weeks LMP) ","Bans_gest_18 weeks postfertilization (20 weeks LMP)","Bans_gest_19 weeks postfertilization (21 weeks LMP)","Bans_gest20 weeks postfertilization (22 weeks LMP)","Bans_gest_21 weeks postfertilization (23 weeks LMP) ","Bans_gest_22 weeks postfertilization (24 weeks LMP)","Bans_gest_24 weeks postfertilization (26 weeks LMP)",Bans_gestViability,"Bans_gest_Fetus is capable of feeling pain","Bans_gest_3rd trimester","Prohibit_ExcLife endangerment","Prohibit_ExcSerious health risk","Prohibit_Exc_Fetal anomaly",Prohibit_Exc_Rape,Prohibit_Exc_Incest,Prohibit_Exc_Health,"Exc_Req_Must be performed in a hospital","Exc_ReqMust use a method most likely to result in fetal survival","Exc_Req_Second physician must participate","Exc_Req_Second physician must certify the exception","Exc_Req_Two other physicians must certify the exception","Exc_Req_Second physician must attend the abortion","Exc_Req_No requirements",Reason_Prohibit,Reason_What_Race,Reason_What_Sex,"Reason_What_Down syndrome","Reason_What_Fetal anomaly","Reason_What_Fetal disability","Reason_What_Scientific research",Methods_Prohibit,"Methods_ProcedPartial-birth abortions","Methods_ProcedDismemberment abortions","Methods_Proced_Saline method abortions","Methods_ExcLife endangerment","Methods_ExcSerious health risk","Methods_Exc_Fetal anomaly","Methods_Exc_No exceptions",TriggerBan,Bans_PreRoe
Arkansas,2018/12/01,2019/07/22,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
Arkansas,2019/07/23,2019/07/23,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
Arkansas,2019/07/24,2019/08/05,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2019/08/06,2020/08/06,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2020/08/07,2021/01/04,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2021/01/05,2021/07/19,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2021/07/20,2021/07/27,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2021/07/28,2022/06/23,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2022/06/24,2022/06/29,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2022/06/30,2022/07/11,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2022/07/12,2022/07/12,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2022/07/13,2022/07/25,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2022/07/26,2022/09/18,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
Arkansas,2022/09/19,2022/11/01,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
California,2018/12/01,2022/11/01,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Colorado,2018/12/01,2022/11/01,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Connecticut,2018/12/01,2022/06/30,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Connecticut,2022/07/01,2022/11/01,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Delaware,2018/12/01,2021/09/16,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,1
Delaware,2021/09/17,2021/10/19,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Delaware,2021/10/20,2022/04/27,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Delaware,2022/04/28,2022/06/28,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Delaware,2022/06/29,2022/11/01,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
"District of Columbia",2018/12/01,2022/11/01,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Florida,2018/12/01,2020/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Florida,2020/07/01,2022/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Florida,2022/07/01,2022/07/04,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Florida,2022/07/05,2022/07/05,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Florida,2022/07/06,2022/11/01,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Georgia,2018/12/01,2019/09/30,1,1,1,.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Georgia,2019/10/01,2019/12/31,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Georgia,2020/01/01,2020/07/12,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Georgia,2020/07/13,2022/07/19,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Georgia,2022/07/20,2022/11/01,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Hawaii,2018/12/01,2022/11/01,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Idaho,2018/12/01,2019/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Idaho,2019/07/01,2020/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Idaho,2020/07/01,2021/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2021/07/01,2022/04/07,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/04/08,2022/04/21,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/04/22,2022/06/30,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/07/01,2022/08/11,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/08/12,2022/08/18,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/08/19,2022/08/23,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/08/24,2022/08/24,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Idaho,2022/08/25,2022/11/01,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,1,0
Illinois,2018/12/01,2019/06/11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Illinois,2019/06/12,2022/11/01,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Indiana,2018/12/01,2019/06/27,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
Indiana,2019/06/28,2019/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
Indiana,2019/07/01,2021/06/30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Indiana,2021/07/01,2022/07/06,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Indiana,2022/07/07,2022/07/17,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Indiana,2022/07/18,2022/09/14,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Indiana,2022/09/15,2022/09/21,1,0,.,.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Indiana,2022/09/22,2022/11/01,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Iowa,2018/12/01,2019/01/21,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Iowa,2019/01/22,2020/06/30,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Iowa,2020/07/01,2022/06/16,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Iowa,2022/06/17,2022/11/01,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0
Kansas,2018/12/01,2019/04/25,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
Kansas,2019/04/26,2021/04/06,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
Kansas,2021/04/07,2022/11/01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
Kentucky,2018/12/01,2019/03/14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,.,.,.,.,.,.,1,1,1,1,1,1,0,0,0,0
Kentucky,2019/03/15,2019/03/18,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,.,.,.,.,.,.,1,1,1,1,1,1,0,0,0,0
Kentucky,2019/03/19,2019/03/19,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0
Kentucky,2019/03/20,2019/05/09,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0
Kentucky,2019/05/10,2019/06/26,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0
Kentucky,2019/06/27,2020/06/01,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2020/06/02,2022/04/13,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/04/14,2022/05/18,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/05/19,2022/06/23,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/06/24,2022/06/28,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/06/29,2022/06/29,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/06/30,2022/07/13,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/07/14,2022/07/21,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/07/22,2022/07/31,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/08/01,2022/08/16,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Kentucky,2022/08/17,2022/11/01,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
Louisiana,2018/12/01,2019/07/31,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0
Louisiana,2019/08/01,2022/06/23,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0
Louisiana,2022/06/24,2022/06/26,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0
